asset_tag,serial_number,site,business_service,owner_team,lifecycle_state,vendor,model,category,purchase_date,installed_date,warranty_end
AMS-HQ-SER-0011,SRL-C6543BD3,AMS-HQ,Email & Collaboration,Data Center Ops,Decommission Planned,Dell,PowerEdge R650,Server,2019-03-08,2019-05-01,2024-03-08
SGP-EDGE-FIR-0012,SRL-5C678783,SGP-EDGE,Retail POS,Platform Engineering,Retiring,Palo Alto Networks,PA-5220,Firewall,2020-04-05,2020-06-20,2024-04-05
NYC-HQ-SER-0013,SRL-C725196A,NYC-HQ,Online Payments,Network Team,Spare,HPE,ProLiant DL380 Gen10,Server,2021-10-03,2021-11-04,2025-10-03
TOR-DC1-STO-0014,SRL-A4303731,TOR-DC1,Voice Core,Cloud Ops,Lab,NetApp,AFF A400,Storage,2015-11-24,2015-11-20,2020-11-24
FRA-DC3-SER-0015,SRL-D00C7824,FRA-DC3,Security Monitoring,Data Center Ops,Lab,Dell,PowerEdge R740,Server,2019-07-06,2019-09-14,2022-07-06
SGP-EDGE-SER-0016,SRL-27A4D220,SGP-EDGE,Manufacturing SCADA,Security Team,Retiring,Dell,PowerEdge R740,Server,2019-11-17,2020-01-16,2022-11-17
SFO-DC2-SER-0017,SRL-9C60C796,SFO-DC2,IoT Gateway,Security Team,Retiring,Supermicro,SYS-220U-TNR,Server,2015-10-11,2015-12-23,2018-10-11
NYC-HQ-SWI-0018,SRL-80508580,NYC-HQ,IoT Gateway,Infra Ops,Spare,Cisco,Nexus 93180YC-FX3,Switch,2018-10-03,2018-10-23,2023-10-03
AMS-HQ-SER-0019,SRL-EA3FFFB2,AMS-HQ,ERP Core,Cloud Ops,Spare,Dell,PowerEdge R650,Server,2022-09-06,2022-10-19,2027-09-06
TOR-DC1-SWI-0020,SRL-4EE6D883,TOR-DC1,Email & Collaboration,Security Team,Retiring,HPE,Aruba 8400,Switch,2019-07-22,2019-08-21,2023-07-22
FRA-DC3-SWI-0021,SRL-3896ABF7,FRA-DC3,Voice Core,Network Team,Spare,Juniper,QFX5120-48Y,Switch,2016-06-01,2016-08-26,2021-06-01
LON-DC1-SWI-0022,SRL-B20CE363,LON-DC1,Retail POS,Security Team,In Service,Cisco,Catalyst 9606R,Switch,2015-04-03,2015-04-17,2019-04-03
NYC-HQ-SER-0023,SRL-A2BB4437,NYC-HQ,Manufacturing SCADA,Security Team,Lab,Lenovo,ThinkSystem SR650,Server,2018-09-05,2018-11-28,2023-09-05
AMS-HQ-SWI-0024,SRL-E21953B8,AMS-HQ,Analytics Platform,Platform Engineering,Decommission Planned,HPE,Aruba 8400,Switch,2016-02-22,2016-04-27,2020-02-22
DAL-DC2-SWI-0025,SRL-E118CCC3,DAL-DC2,Email & Collaboration,Platform Engineering,RMA Pending,Cisco,Nexus 93180YC-FX3,Switch,2016-01-13,2016-02-08,2019-01-13
LON-DC1-SWI-0026,SRL-70AB2008,LON-DC1,Analytics Platform,Security Team,Retiring,Arista,7280R3-48YC6,Switch,2017-07-06,2017-08-21,2021-07-06
LON-DC1-SER-0027,SRL-0D8E5021,LON-DC1,ERP Core,Platform Engineering,Retiring,Dell,PowerEdge R740,Server,2015-11-18,2015-11-01,2018-11-18
LON-DC1-SER-0028,SRL-E1C4F783,LON-DC1,Customer Portal,Platform Engineering,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2018-07-02,2018-08-03,2022-07-02
SYD-DC1-FIR-0029,SRL-5439FEB4,SYD-DC1,Email & Collaboration,Infra Ops,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2021-12-24,2022-02-17,2026-12-24
AMS-HQ-SWI-0030,SRL-0A4286B0,AMS-HQ,Customer Portal,Security Team,Lab,HPE,Aruba 8400,Switch,2015-10-24,2015-12-15,2018-10-24
MEL-DR-SER-0031,SRL-30505DE3,MEL-DR,Online Payments,Network Team,Retiring,Lenovo,ThinkSystem SR650,Server,2023-09-06,2023-09-23,2028-09-06
NYC-HQ-SWI-0032,SRL-1D8064CC,NYC-HQ,Customer Portal,Network Team,Retiring,Cisco,Catalyst 9606R,Switch,2018-07-04,2018-09-26,2021-07-04
TOR-DC1-SWI-0033,SRL-54745107,TOR-DC1,Retail POS,Network Team,Retiring,Cisco,Catalyst 9606R,Switch,2021-11-19,2022-01-13,2026-11-19
MEL-DR-FIR-0034,SRL-B366BF96,MEL-DR,Security Monitoring,Security Team,RMA Pending,Fortinet,FortiGate 100E,Firewall,2018-05-13,2018-05-11,2023-05-13
SGP-EDGE-SWI-0035,SRL-51FA6300,SGP-EDGE,Voice Core,Infra Ops,In Service,Cisco,Catalyst 9300-48P,Switch,2022-10-19,2022-10-13,2025-10-19
FRA-DC3-SER-0036,SRL-D3A7DE2E,FRA-DC3,Analytics Platform,Cloud Ops,Lab,Dell,PowerEdge R650,Server,2020-02-08,2020-03-07,2024-02-08
SFO-DC2-FIR-0037,SRL-38452E95,SFO-DC2,Voice Core,Cloud Ops,RMA Pending,Fortinet,FortiGate 200F,Firewall,2023-01-22,2023-03-14,2027-01-22
NYC-HQ-SER-0038,SRL-54F7B858,NYC-HQ,Customer Portal,Infra Ops,In Service,Dell,PowerEdge R740,Server,2023-03-09,2023-04-25,2028-03-09
LON-DC1-ROU-0039,SRL-B1F09BCA,LON-DC1,IoT Gateway,Security Team,RMA Pending,Juniper,MX204,Router,2023-08-09,2023-08-25,2026-08-09
DAL-DC2-FIR-0040,SRL-45D7F822,DAL-DC2,Security Monitoring,Network Team,In Service,Fortinet,FortiGate 100E,Firewall,2017-11-09,2017-12-09,2022-11-09
AMS-HQ-STO-0041,SRL-ED491D99,AMS-HQ,Manufacturing SCADA,Data Center Ops,Decommission Planned,NetApp,AFF A400,Storage,2015-02-03,2015-02-04,2020-02-03
SYD-DC1-SER-0042,SRL-91ABD7DB,SYD-DC1,IoT Gateway,Cloud Ops,Retiring,Dell,PowerEdge R650,Server,2021-03-02,2021-04-21,2025-03-02
SYD-DC1-SWI-0043,SRL-3A03F62A,SYD-DC1,IoT Gateway,Security Team,RMA Pending,Juniper,QFX5120-48Y,Switch,2016-06-25,2016-08-18,2020-06-25
TOR-DC1-SER-0044,SRL-1BEFA1DE,TOR-DC1,Customer Portal,Security Team,Spare,HPE,ProLiant DL380 Gen10,Server,2021-01-06,2021-02-28,2025-01-06
LON-DC1-SER-0045,SRL-61EC6A4C,LON-DC1,Security Monitoring,Security Team,RMA Pending,Dell,PowerEdge R740,Server,2021-01-28,2021-03-10,2024-01-28
LON-DC1-SWI-0046,SRL-6646C701,LON-DC1,Voice Core,Infra Ops,Lab,Juniper,QFX5120-48Y,Switch,2018-01-22,2018-02-26,2022-01-22
MEL-DR-FIR-0047,SRL-5379187D,MEL-DR,Security Monitoring,Network Team,Lab,Palo Alto Networks,PA-3220,Firewall,2023-07-22,2023-09-12,2027-07-22
SYD-DC1-STO-0048,SRL-BBB3E987,SYD-DC1,ERP Core,Infra Ops,Spare,NetApp,FAS2750,Storage,2019-01-04,2019-03-02,2023-01-04
MEL-DR-SER-0049,SRL-BCB78BAB,MEL-DR,IoT Gateway,Platform Engineering,Retiring,Supermicro,SYS-220U-TNR,Server,2016-07-19,2016-08-23,2020-07-19
SYD-DC1-STO-0050,SRL-576735B1,SYD-DC1,Email & Collaboration,Network Team,Retiring,NetApp,AFF A400,Storage,2018-06-14,2018-06-04,2023-06-14
MEL-DR-SER-0051,SRL-047CB0F0,MEL-DR,Retail POS,Infra Ops,RMA Pending,Dell,PowerEdge R740,Server,2019-09-10,2019-11-12,2023-09-10
DAL-DC2-SWI-0052,SRL-19C51FF2,DAL-DC2,Security Monitoring,Cloud Ops,Spare,HPE,Aruba 8400,Switch,2021-11-13,2021-12-15,2026-11-13
TOR-DC1-SWI-0053,SRL-53010279,TOR-DC1,Security Monitoring,Platform Engineering,Retiring,Cisco,Catalyst 9300-48P,Switch,2019-05-07,2019-07-12,2024-05-07
TOR-DC1-SWI-0054,SRL-4C39FFAF,TOR-DC1,IoT Gateway,Platform Engineering,Decommission Planned,Arista,7280R3-48YC6,Switch,2018-09-16,2018-10-17,2023-09-16
NYC-HQ-STO-0055,SRL-DA2F830E,NYC-HQ,Security Monitoring,Cloud Ops,RMA Pending,Dell,PowerStore 500,Storage,2020-02-27,2020-03-09,2025-02-27
SGP-EDGE-SWI-0056,SRL-2FA0DF06,SGP-EDGE,Analytics Platform,Security Team,Spare,Cisco,Catalyst 9300-48P,Switch,2015-04-16,2015-06-16,2018-04-16
AMS-HQ-SWI-0057,SRL-4BD25F37,AMS-HQ,Email & Collaboration,Data Center Ops,Retiring,HPE,Aruba 8400,Switch,2021-08-13,2021-09-24,2024-08-13
SYD-DC1-SER-0058,SRL-93B27452,SYD-DC1,ERP Core,Platform Engineering,Spare,HPE,ProLiant DL380 Gen10,Server,2023-08-02,2023-10-23,2026-08-02
NYC-HQ-SER-0059,SRL-08AF89E8,NYC-HQ,Voice Core,Security Team,Decommission Planned,Supermicro,SYS-220U-TNR,Server,2023-10-11,2023-12-17,2028-10-11
FRA-DC3-SER-0060,SRL-77B14B50,FRA-DC3,Email & Collaboration,Cloud Ops,Decommission Planned,HPE,ProLiant DL380 Gen10,Server,2022-08-09,2022-09-20,2027-08-09
SGP-EDGE-SWI-0061,SRL-49FA3E7F,SGP-EDGE,Manufacturing SCADA,Platform Engineering,RMA Pending,Juniper,QFX5120-48Y,Switch,2019-08-03,2019-09-19,2022-08-03
SGP-EDGE-SWI-0062,SRL-D7E008FC,SGP-EDGE,IoT Gateway,Infra Ops,Retiring,Cisco,Catalyst 9606R,Switch,2017-03-08,2017-04-09,2022-03-08
SFO-DC2-SWI-0063,SRL-66F41D9E,SFO-DC2,Analytics Platform,Network Team,Decommission Planned,Arista,7050X3-48C,Switch,2020-09-15,2020-11-18,2023-09-15
LON-DC1-SWI-0064,SRL-72475933,LON-DC1,Email & Collaboration,Platform Engineering,Retiring,Cisco,Catalyst 9300-48P,Switch,2021-08-01,2021-09-26,2025-08-01
DAL-DC2-STO-0065,SRL-9C20517D,DAL-DC2,Email & Collaboration,Cloud Ops,RMA Pending,NetApp,AFF A400,Storage,2018-08-08,2018-09-22,2022-08-08
AMS-HQ-FIR-0066,SRL-2ADCE80F,AMS-HQ,Online Payments,Platform Engineering,Lab,Palo Alto Networks,PA-5220,Firewall,2017-08-05,2017-10-06,2022-08-05
SYD-DC1-SWI-0067,SRL-CFB80374,SYD-DC1,Email & Collaboration,Cloud Ops,Retiring,Cisco,Catalyst 9300-48P,Switch,2016-11-14,2016-11-13,2020-11-14
SFO-DC2-FIR-0068,SRL-1494DA66,SFO-DC2,Online Payments,Infra Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2018-08-11,2018-09-06,2022-08-11
SGP-EDGE-SER-0069,SRL-5F238D4F,SGP-EDGE,Email & Collaboration,Infra Ops,In Service,Lenovo,ThinkSystem SR650,Server,2015-12-18,2015-12-06,2019-12-18
LON-DC1-SWI-0070,SRL-B8F975B2,LON-DC1,ERP Core,Data Center Ops,In Service,Cisco,Catalyst 9300-48P,Switch,2018-04-27,2018-04-11,2023-04-27
SFO-DC2-SER-0071,SRL-02078A0C,SFO-DC2,Analytics Platform,Security Team,Decommission Planned,Dell,PowerEdge R740,Server,2018-08-23,2018-09-07,2022-08-23
SFO-DC2-SER-0072,SRL-1337F62E,SFO-DC2,Retail POS,Cloud Ops,RMA Pending,Dell,PowerEdge R740,Server,2017-05-04,2017-07-28,2020-05-04
SGP-EDGE-FIR-0073,SRL-C9596A51,SGP-EDGE,Retail POS,Data Center Ops,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2018-02-19,2018-05-19,2021-02-19
NYC-HQ-SER-0074,SRL-CBFB105F,NYC-HQ,Security Monitoring,Data Center Ops,Retiring,Dell,PowerEdge R740,Server,2015-06-18,2015-08-22,2020-06-18
MEL-DR-FIR-0075,SRL-487D513E,MEL-DR,ERP Core,Cloud Ops,RMA Pending,Fortinet,FortiGate 100E,Firewall,2015-07-27,2015-09-11,2018-07-27
DAL-DC2-SER-0076,SRL-B2239E0D,DAL-DC2,IoT Gateway,Data Center Ops,Decommission Planned,Dell,PowerEdge R650,Server,2021-03-24,2021-05-12,2026-03-24
SGP-EDGE-SWI-0077,SRL-0500FF76,SGP-EDGE,Retail POS,Cloud Ops,Decommission Planned,Arista,7280R3-48YC6,Switch,2021-12-19,2022-01-05,2025-12-19
LON-DC1-SWI-0078,SRL-33DBEBAD,LON-DC1,ERP Core,Infra Ops,Decommission Planned,Juniper,QFX5120-48Y,Switch,2022-10-20,2022-11-20,2026-10-20
SYD-DC1-SER-0079,SRL-6831BA20,SYD-DC1,Voice Core,Infra Ops,Spare,Lenovo,ThinkSystem SR650,Server,2018-06-26,2018-07-11,2022-06-26
SGP-EDGE-STO-0080,SRL-F0925816,SGP-EDGE,Retail POS,Data Center Ops,Lab,NetApp,AFF A400,Storage,2015-09-07,2015-09-27,2018-09-07
DAL-DC2-SER-0081,SRL-F40F41E0,DAL-DC2,Voice Core,Cloud Ops,Spare,Lenovo,ThinkSystem SR650,Server,2022-08-26,2022-08-10,2025-08-26
SGP-EDGE-SWI-0082,SRL-A8F2FE53,SGP-EDGE,Analytics Platform,Platform Engineering,RMA Pending,Juniper,QFX5120-48Y,Switch,2019-11-19,2019-12-18,2023-11-19
FRA-DC3-STO-0083,SRL-F4E19FA5,FRA-DC3,Manufacturing SCADA,Infra Ops,Decommission Planned,NetApp,AFF A400,Storage,2020-06-23,2020-08-03,2024-06-23
SGP-EDGE-SWI-0084,SRL-49D74FC9,SGP-EDGE,Security Monitoring,Security Team,In Service,HPE,Aruba 8400,Switch,2020-02-24,2020-04-14,2025-02-24
SFO-DC2-SER-0085,SRL-7FF904B9,SFO-DC2,Analytics Platform,Security Team,RMA Pending,Lenovo,ThinkSystem SR650,Server,2019-12-19,2020-02-08,2024-12-19
SGP-EDGE-SWI-0086,SRL-D20DCE8A,SGP-EDGE,ERP Core,Security Team,Lab,Juniper,QFX5120-48Y,Switch,2020-03-10,2020-03-21,2025-03-10
FRA-DC3-SWI-0087,SRL-332349E6,FRA-DC3,Customer Portal,Infra Ops,In Service,Cisco,Nexus 93180YC-FX3,Switch,2023-05-23,2023-05-21,2028-05-23
AMS-HQ-FIR-0088,SRL-C9294B9A,AMS-HQ,ERP Core,Network Team,Retiring,Fortinet,FortiGate 200F,Firewall,2022-08-15,2022-09-10,2025-08-15
SYD-DC1-SWI-0089,SRL-95E644AC,SYD-DC1,Security Monitoring,Platform Engineering,In Service,Cisco,Catalyst 9606R,Switch,2021-08-03,2021-10-26,2026-08-03
SYD-DC1-FIR-0090,SRL-35EE86C1,SYD-DC1,Customer Portal,Security Team,Retiring,Fortinet,FortiGate 200F,Firewall,2016-04-04,2016-06-25,2020-04-04
TOR-DC1-SER-0091,SRL-74B24B6E,TOR-DC1,Retail POS,Cloud Ops,Spare,Supermicro,SYS-220U-TNR,Server,2021-08-15,2021-09-05,2026-08-15
DAL-DC2-SWI-0092,SRL-131DC6D4,DAL-DC2,Security Monitoring,Cloud Ops,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2016-04-21,2016-05-28,2020-04-21
NYC-HQ-STO-0093,SRL-908563F0,NYC-HQ,Customer Portal,Security Team,Spare,NetApp,AFF A400,Storage,2016-03-01,2016-05-03,2020-03-01
TOR-DC1-SWI-0094,SRL-6938DD28,TOR-DC1,Voice Core,Infra Ops,In Service,Juniper,QFX5120-48Y,Switch,2019-12-10,2020-02-18,2022-12-10
LON-DC1-SWI-0095,SRL-6A0393E2,LON-DC1,Security Monitoring,Data Center Ops,Retiring,HPE,Aruba 8400,Switch,2021-02-18,2021-03-26,2026-02-18
SFO-DC2-SWI-0096,SRL-C990BC9E,SFO-DC2,Security Monitoring,Security Team,In Service,Cisco,Nexus 93180YC-FX3,Switch,2017-05-20,2017-07-14,2021-05-20
AMS-HQ-FIR-0097,SRL-3367B39D,AMS-HQ,ERP Core,Platform Engineering,RMA Pending,Fortinet,FortiGate 200F,Firewall,2021-05-17,2021-07-08,2025-05-17
AMS-HQ-SWI-0098,SRL-652308D7,AMS-HQ,ERP Core,Cloud Ops,In Service,Arista,7050X3-48C,Switch,2020-10-09,2020-10-22,2023-10-09
LON-DC1-ROU-0099,SRL-2D1DD8A8,LON-DC1,Retail POS,Cloud Ops,In Service,Juniper,MX204,Router,2015-03-16,2015-05-04,2020-03-16
AMS-HQ-SWI-0100,SRL-0B721149,AMS-HQ,Security Monitoring,Security Team,Retiring,Arista,7050X3-48C,Switch,2022-02-16,2022-03-12,2026-02-16
MEL-DR-SER-0101,SRL-345B2A32,MEL-DR,IoT Gateway,Data Center Ops,In Service,HPE,ProLiant DL380 Gen10,Server,2020-07-23,2020-09-08,2024-07-23
DAL-DC2-SWI-0102,SRL-CAEAF0C5,DAL-DC2,Manufacturing SCADA,Network Team,Decommission Planned,Cisco,Catalyst 9606R,Switch,2020-05-11,2020-05-07,2024-05-11
FRA-DC3-SWI-0103,SRL-A614D2A8,FRA-DC3,Online Payments,Data Center Ops,Retiring,Arista,7280R3-48YC6,Switch,2021-01-07,2021-03-23,2025-01-07
TOR-DC1-SWI-0104,SRL-CB3E78D9,TOR-DC1,Voice Core,Data Center Ops,Decommission Planned,Cisco,Nexus 93180YC-FX3,Switch,2018-05-18,2018-05-16,2022-05-18
AMS-HQ-STO-0105,SRL-9D4A0090,AMS-HQ,Voice Core,Network Team,In Service,Dell,PowerStore 500,Storage,2018-12-06,2019-01-25,2023-12-06
SYD-DC1-SWI-0106,SRL-4CE763A2,SYD-DC1,Manufacturing SCADA,Platform Engineering,In Service,Juniper,QFX5120-48Y,Switch,2016-08-04,2016-08-05,2020-08-04
SGP-EDGE-SWI-0107,SRL-C8DABCA3,SGP-EDGE,Manufacturing SCADA,Data Center Ops,Lab,Arista,7050X3-48C,Switch,2022-08-08,2022-10-16,2027-08-08
SFO-DC2-SER-0108,SRL-EA5C5E00,SFO-DC2,Email & Collaboration,Security Team,Retiring,Supermicro,SYS-220U-TNR,Server,2017-02-09,2017-04-12,2021-02-09
FRA-DC3-FIR-0109,SRL-33C3B4C7,FRA-DC3,Security Monitoring,Network Team,Lab,Fortinet,FortiGate 200F,Firewall,2022-03-15,2022-05-05,2026-03-15
MEL-DR-FIR-0110,SRL-9D9C32FE,MEL-DR,IoT Gateway,Cloud Ops,Retiring,Palo Alto Networks,PA-5220,Firewall,2022-06-28,2022-07-04,2027-06-28
LON-DC1-SWI-0111,SRL-B060D218,LON-DC1,Retail POS,Platform Engineering,Spare,Arista,7050X3-48C,Switch,2015-06-24,2015-08-06,2020-06-24
DAL-DC2-SER-0112,SRL-EDDE30A1,DAL-DC2,Email & Collaboration,Data Center Ops,RMA Pending,Dell,PowerEdge R650,Server,2022-01-05,2022-03-19,2027-01-05
MEL-DR-SER-0113,SRL-31B6A50A,MEL-DR,ERP Core,Platform Engineering,In Service,Supermicro,SYS-220U-TNR,Server,2022-01-24,2022-01-24,2026-01-24
SFO-DC2-FIR-0114,SRL-276E1788,SFO-DC2,ERP Core,Platform Engineering,Lab,Fortinet,FortiGate 100E,Firewall,2021-11-03,2021-12-25,2026-11-03
FRA-DC3-SER-0115,SRL-F1D041B1,FRA-DC3,Email & Collaboration,Infra Ops,RMA Pending,Lenovo,ThinkSystem SR650,Server,2023-01-20,2023-01-10,2026-01-20
SGP-EDGE-SWI-0116,SRL-95BDA70C,SGP-EDGE,Analytics Platform,Data Center Ops,In Service,Arista,7050X3-48C,Switch,2016-11-23,2016-11-17,2020-11-23
SFO-DC2-FIR-0117,SRL-D9E8482A,SFO-DC2,Security Monitoring,Network Team,In Service,Fortinet,FortiGate 100E,Firewall,2015-05-12,2015-06-11,2019-05-12
SFO-DC2-STO-0118,SRL-44C15DB3,SFO-DC2,Analytics Platform,Cloud Ops,Decommission Planned,NetApp,FAS2750,Storage,2017-03-06,2017-03-26,2022-03-06
DAL-DC2-SER-0119,SRL-3ED65618,DAL-DC2,Retail POS,Data Center Ops,Spare,Lenovo,ThinkSystem SR650,Server,2017-04-15,2017-05-27,2021-04-15
SGP-EDGE-STO-0120,SRL-3F2D7ECA,SGP-EDGE,Online Payments,Platform Engineering,Lab,NetApp,AFF A400,Storage,2017-02-15,2017-03-11,2022-02-15
SGP-EDGE-SWI-0121,SRL-C4811046,SGP-EDGE,Email & Collaboration,Data Center Ops,Lab,Arista,7280R3-48YC6,Switch,2019-04-13,2019-06-24,2022-04-13
LON-DC1-STO-0122,SRL-31FFB454,LON-DC1,Email & Collaboration,Cloud Ops,Lab,NetApp,FAS2750,Storage,2019-12-10,2019-12-22,2024-12-10
DAL-DC2-SWI-0123,SRL-39DC0B58,DAL-DC2,Security Monitoring,Network Team,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2022-05-25,2022-06-06,2027-05-25
MEL-DR-STO-0124,SRL-7B0A959A,MEL-DR,Analytics Platform,Data Center Ops,Spare,Dell,PowerStore 500,Storage,2019-11-25,2019-11-24,2024-11-25
NYC-HQ-SWI-0125,SRL-F7C9DAAC,NYC-HQ,Online Payments,Infra Ops,Decommission Planned,Cisco,Nexus 93180YC-FX3,Switch,2020-12-05,2020-12-26,2024-12-05
MEL-DR-SER-0126,SRL-569E0FA3,MEL-DR,Email & Collaboration,Security Team,Spare,Dell,PowerEdge R650,Server,2023-06-17,2023-08-03,2027-06-17
SFO-DC2-FIR-0127,SRL-DCB50418,SFO-DC2,Security Monitoring,Platform Engineering,Lab,Fortinet,FortiGate 100E,Firewall,2016-08-03,2016-08-03,2019-08-03
DAL-DC2-FIR-0128,SRL-FAA7E33B,DAL-DC2,Manufacturing SCADA,Infra Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2015-05-18,2015-05-15,2019-05-18
MEL-DR-FIR-0129,SRL-6DFFCBCE,MEL-DR,Security Monitoring,Cloud Ops,Decommission Planned,Palo Alto Networks,PA-3220,Firewall,2016-11-08,2017-01-18,2019-11-08
TOR-DC1-SWI-0130,SRL-05105C60,TOR-DC1,Manufacturing SCADA,Infra Ops,Retiring,Juniper,QFX5120-48Y,Switch,2016-11-27,2017-01-08,2021-11-27
SGP-EDGE-SWI-0131,SRL-27AA22E5,SGP-EDGE,Email & Collaboration,Network Team,Spare,Cisco,Nexus 93180YC-FX3,Switch,2015-05-16,2015-05-12,2018-05-16
LON-DC1-SWI-0132,SRL-F25180ED,LON-DC1,Manufacturing SCADA,Security Team,Decommission Planned,Arista,7280R3-48YC6,Switch,2020-11-24,2021-01-15,2024-11-24
TOR-DC1-SER-0133,SRL-5C5E4514,TOR-DC1,Customer Portal,Platform Engineering,RMA Pending,Dell,PowerEdge R740,Server,2022-10-14,2022-11-01,2025-10-14
MEL-DR-SWI-0134,SRL-FC7EE5C8,MEL-DR,Analytics Platform,Platform Engineering,Decommission Planned,Juniper,QFX5120-48Y,Switch,2020-02-22,2020-03-21,2025-02-22
MEL-DR-SWI-0135,SRL-B85C8F0D,MEL-DR,Online Payments,Platform Engineering,Lab,HPE,Aruba 8400,Switch,2016-08-03,2016-09-10,2021-08-03
TOR-DC1-SWI-0136,SRL-871B4FCE,TOR-DC1,Online Payments,Network Team,Lab,Juniper,QFX5120-48Y,Switch,2017-10-07,2017-10-25,2022-10-07
LON-DC1-FIR-0137,SRL-5AC52532,LON-DC1,Retail POS,Security Team,Spare,Fortinet,FortiGate 100E,Firewall,2017-10-01,2017-11-16,2020-10-01
SFO-DC2-SER-0138,SRL-3941B56B,SFO-DC2,Manufacturing SCADA,Infra Ops,Spare,Dell,PowerEdge R740,Server,2015-03-01,2015-04-26,2018-03-01
TOR-DC1-ROU-0139,SRL-8BAEA1F0,TOR-DC1,IoT Gateway,Network Team,Spare,Juniper,MX204,Router,2015-03-24,2015-05-27,2020-03-24
NYC-HQ-FIR-0140,SRL-F099E920,NYC-HQ,ERP Core,Platform Engineering,Decommission Planned,Palo Alto Networks,PA-3220,Firewall,2023-10-04,2023-12-11,2028-10-04
LON-DC1-SER-0141,SRL-D7072BDE,LON-DC1,Retail POS,Network Team,RMA Pending,Supermicro,SYS-220U-TNR,Server,2019-08-21,2019-08-06,2022-08-21
AMS-HQ-SER-0142,SRL-4984583A,AMS-HQ,Email & Collaboration,Platform Engineering,RMA Pending,Dell,PowerEdge R740,Server,2022-12-15,2022-12-06,2025-12-15
MEL-DR-SER-0143,SRL-8B72CE10,MEL-DR,Retail POS,Security Team,In Service,Dell,PowerEdge R650,Server,2019-10-21,2019-12-17,2024-10-21
MEL-DR-FIR-0144,SRL-008EE35B,MEL-DR,Email & Collaboration,Cloud Ops,Retiring,Fortinet,FortiGate 200F,Firewall,2022-09-20,2022-11-25,2025-09-20
NYC-HQ-SWI-0145,SRL-9BA3D0ED,NYC-HQ,Manufacturing SCADA,Data Center Ops,Spare,Arista,7050X3-48C,Switch,2022-04-14,2022-05-09,2026-04-14
DAL-DC2-FIR-0146,SRL-FFF7F406,DAL-DC2,Email & Collaboration,Data Center Ops,In Service,Fortinet,FortiGate 100E,Firewall,2021-06-22,2021-07-06,2025-06-22
SFO-DC2-SWI-0147,SRL-164662CC,SFO-DC2,Voice Core,Network Team,In Service,Cisco,Catalyst 9606R,Switch,2016-07-04,2016-08-03,2019-07-04
FRA-DC3-STO-0148,SRL-F122C071,FRA-DC3,Online Payments,Cloud Ops,Retiring,NetApp,AFF A400,Storage,2020-11-04,2021-01-06,2024-11-04
DAL-DC2-FIR-0149,SRL-BA880C4C,DAL-DC2,Online Payments,Infra Ops,Retiring,Fortinet,FortiGate 200F,Firewall,2020-02-19,2020-04-05,2023-02-19
SFO-DC2-FIR-0150,SRL-6C261FB8,SFO-DC2,Voice Core,Security Team,In Service,Palo Alto Networks,PA-3220,Firewall,2023-06-04,2023-07-19,2028-06-04
