vendor,model,category,end_of_sale,end_of_support,end_of_life,recommended_replacement,advisory_url
Arista,DCS-7050X2-64-R,Switch,,,,,
Arista,DCS-7050X3-32-F,Switch,,,,,
Arista,DCS-7050X3-32-R,Switch,,,,,
Arista,DCS-7050X3-48-F,Switch,,,,,
Arista,DCS-7050X3-48-R,Switch,,,,,
Arista,DCS-7050X3-64-F,Switch,,,,,
Arista,DCS-7050X3-64-R,Switch,,,,,
Arista,DCS-7060X4-32-F,Switch,,,,,
Arista,DCS-7060X4-32-R,Switch,,,,,
Arista,DCS-7060X4-48-F,Switch,,,,,
Arista,DCS-7060X4-48-R,Switch,,,,,
Arista,DCS-7060X4-64-F,Switch,,,,,
Arista,DCS-7060X4-64-R,Switch,,,,,
Arista,DCS-7280R-32-F,Switch,,,,,
Arista,DCS-7280R-32-R,Switch,,,,,
Arista,DCS-7280R-48-F,Switch,,,,,
Arista,DCS-7280R-48-R,Switch,,,,,
Arista,DCS-7280R-64-F,Switch,,,,,
Arista,DCS-7280R-64-R,Switch,,,,,
Arista,DCS-7280R2-32-F,Switch,,,,,
Arista,DCS-7280R2-32-R,Switch,,,,,
Arista,DCS-7280R2-48-F,Switch,,,,,
Arista,DCS-7280R2-48-R,Switch,,,,,
Arista,DCS-7280R2-64-F,Switch,,,,,
Arista,DCS-7280R2-64-R,Switch,,,,,
Arista,DCS-7280R3-32-F,Switch,,,,,
Arista,DCS-7280R3-32-R,Switch,,,,,
Arista,DCS-7280R3-48-F,Switch,,,,,
Arista,DCS-7280R3-48-R,Switch,,,,,
Arista,DCS-7280R3-64-F,Switch,,,,,
Arista,DCS-7280R3-64-R,Switch,,,,,
Arista,DCS-7160-32-F,Switch,,,,,
Arista,DCS-7160-32-R,Switch,,,,,
Arista,DCS-7160-48-F,Switch,,,,,
Arista,DCS-7160-48-R,Switch,,,,,
Arista,DCS-7160-64-F,Switch,,,,,
Arista,DCS-7160-64-R,Switch,,,,,
Lenovo,ThinkSystem SR630,Server,,,,,
Lenovo,ThinkSystem SR630 V2,Server,,,,,
Lenovo,ThinkSystem SR630 V3,Server,,,,,
Lenovo,ThinkSystem SR650,Server,,,,,
Lenovo,ThinkSystem SR650 V2,Server,,,,,
Lenovo,ThinkSystem SR650 V3,Server,,,,,
Lenovo,ThinkSystem SR645,Server,,,,,
Lenovo,ThinkSystem SR645 V2,Server,,,,,
Lenovo,ThinkSystem SR645 V3,Server,,,,,
Lenovo,ThinkSystem SR655,Server,,,,,
Lenovo,ThinkSystem SR655 V2,Server,,,,,
Lenovo,ThinkSystem SR655 V3,Server,,,,,
Lenovo,ThinkSystem SR670,Server,,,,,
Lenovo,ThinkSystem SR670 V2,Server,,,,,
Lenovo,ThinkSystem SR670 V3,Server,,,,,
Lenovo,ThinkSystem SR850,Server,,,,,
Lenovo,ThinkSystem SR850 V2,Server,,,,,
Lenovo,ThinkSystem SR850 V3,Server,,,,,
Supermicro,SYS-1029U-TNR,Server,,,,,
Supermicro,SYS-1029U-TN10RT,Server,,,,,
Supermicro,SYS-1029U-UR,Server,,,,,
Supermicro,SYS-1029U-NR,Server,,,,,
Supermicro,SYS-1029U-RN4T,Server,,,,,
Supermicro,SYS-2029U-TNR,Server,,,,,
Supermicro,SYS-2029U-TN10RT,Server,,,,,
Supermicro,SYS-2029U-UR,Server,,,,,
Supermicro,SYS-2029U-NR,Server,,,,,
Supermicro,SYS-2029U-RN4T,Server,,,,,
Supermicro,SYS-6029P-TNR,Server,,,,,
Supermicro,SYS-6029P-TN10RT,Server,,,,,
Supermicro,SYS-6029P-UR,Server,,,,,
Supermicro,SYS-6029P-NR,Server,,,,,
Supermicro,SYS-6029P-RN4T,Server,,,,,
Supermicro,SYS-2028U-TNR,Server,,,,,
Supermicro,SYS-2028U-TN10RT,Server,,,,,
Supermicro,SYS-2028U-UR,Server,,,,,
Supermicro,SYS-2028U-NR,Server,,,,,
Supermicro,SYS-2028U-RN4T,Server,,,,,
Supermicro,SYS-1114S-TNR,Server,,,,,
Supermicro,SYS-1114S-TN10RT,Server,,,,,
Supermicro,SYS-1114S-UR,Server,,,,,
Supermicro,SYS-1114S-NR,Server,,,,,
Supermicro,SYS-1114S-RN4T,Server,,,,,
Supermicro,SYS-121H-TNR,Server,,,,,
Supermicro,SYS-121H-TN10RT,Server,,,,,
Supermicro,SYS-121H-UR,Server,,,,,
Supermicro,SYS-121H-NR,Server,,,,,
Supermicro,SYS-121H-RN4T,Server,,,,,
NetApp,FAS2552,Storage,,,,,
NetApp,FAS2554,Storage,,,,,
NetApp,FAS8040,Storage,,,,,
NetApp,FAS8200,Storage,,,,,
NetApp,AFF A200,Storage,,,,,
NetApp,AFF A220,Storage,,,,,
NetApp,AFF A300,Storage,,,,,
NetApp,AFF A400,Storage,,,,,
NetApp,AFF A700,Storage,,,,,
Huawei,CE6857-48S6C,Switch,,,,,
Huawei,CE6857E-48S6C,Switch,,,,,
Huawei,CE6885-48S2C,Switch,,,,,
Huawei,CE8861-4C-EI,Switch,,,,,
Cisco,Catalyst 9300-24T PoE,Switch,,,,,
Cisco,Catalyst 9300-24T UPOE,Switch,,,,,
Cisco,Catalyst 9300-24T UPOE+,Switch,,,,,
Cisco,Catalyst 9300-24P PoE,Switch,,,,,
Cisco,Catalyst 9300-24P UPOE,Switch,,,,,
Cisco,Catalyst 9300-24P UPOE+,Switch,,,,,
Cisco,Catalyst 9300-48T PoE,Switch,,,,,
Cisco,Catalyst 9300-48T UPOE,Switch,,,,,
Cisco,Catalyst 9300-48T UPOE+,Switch,,,,,
Cisco,Catalyst 9300-48P PoE,Switch,,,,,
Cisco,Catalyst 9300-48P UPOE,Switch,,,,,
Cisco,Catalyst 9300-48P UPOE+,Switch,,,,,
HPE,Aruba 2930M 24G JL320A,Switch,,,,,
HPE,Aruba 2930M 24G JL321A,Switch,,,,,
HPE,Aruba 2930M 24G JL322A,Switch,,,,,
HPE,Aruba 2930M 24G JL323A,Switch,,,,,
HPE,Aruba 2930M 48G JL320A,Switch,,,,,
HPE,Aruba 2930M 48G JL321A,Switch,,,,,
HPE,Aruba 2930M 48G JL322A,Switch,,,,,
HPE,Aruba 2930M 48G JL323A,Switch,,,,,
HPE,Aruba 2930M 24G PoE+ JL320A,Switch,,,,,
HPE,Aruba 2930M 24G PoE+ JL321A,Switch,,,,,
HPE,Aruba 2930M 24G PoE+ JL322A,Switch,,,,,
HPE,Aruba 2930M 24G PoE+ JL323A,Switch,,,,,
HPE,Aruba 2930M 48G PoE+ JL320A,Switch,,,,,
HPE,Aruba 2930M 48G PoE+ JL321A,Switch,,,,,
HPE,Aruba 2930M 48G PoE+ JL322A,Switch,,,,,
HPE,Aruba 2930M 48G PoE+ JL323A,Switch,,,,,
Arista,DCS-7050X3-48Y4C -F,Switch,,,,,
Arista,DCS-7050X3-48Y4C -R,Switch,,,,,
Arista,DCS-7050X3-48Y4C Rev2,Switch,,,,,
Arista,DCS-7050X3-48Y4C Rev3,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1001,Server,,,,,
HPE,TEMPLATE-HPE-Server-1002,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1003,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1004,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1005,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1006,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1007,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1008,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1009,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1010,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1011,Server,,,,,
HPE,TEMPLATE-HPE-Server-1012,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1013,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1014,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1015,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1016,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1017,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1018,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1019,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1020,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1021,Server,,,,,
HPE,TEMPLATE-HPE-Server-1022,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1023,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1024,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1025,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1026,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1027,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1028,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1029,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1030,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1031,Server,,,,,
HPE,TEMPLATE-HPE-Server-1032,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1033,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1034,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1035,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1036,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1037,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1038,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1039,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1040,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1041,Server,,,,,
HPE,TEMPLATE-HPE-Server-1042,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1043,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1044,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1045,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1046,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1047,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1048,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1049,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1050,Switch,,,,,
Dell,TEMPLATE-DELL-Server-1051,Server,,,,,
HPE,TEMPLATE-HPE-Server-1052,Server,,,,,
Juniper,TEMPLATE-JUNIPER-Switch-1053,Switch,,,,,
Fortinet,TEMPLATE-FORTINET-Firewall-1054,Firewall,,,,,
Palo Alto Networks,TEMPLATE-PALO ALTO NETWORKS-Firewall-1055,Firewall,,,,,
Arista,TEMPLATE-ARISTA-Switch-1056,Switch,,,,,
Lenovo,TEMPLATE-LENOVO-Server-1057,Server,,,,,
Supermicro,TEMPLATE-SUPERMICRO-Server-1058,Server,,,,,
NetApp,TEMPLATE-NETAPP-Storage-1059,Storage,,,,,
Cisco,TEMPLATE-CISCO-Switch-1060,Switch,,,,,
